البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
259	0106291109120278217490029879122517261231102U2R	ADVIL COLD&SINUS TAB GSK		IBUPROFEN\PSEUDOEPHEDRINE	باكيت	0	2	1	شريط	2747	2609	3500	2747
260	6251613000374	Advil Liqui-Gel 200mg capsules Pfizer					0					15000	
261	3700822602419	AEON protect drop				2	0			14322	14322	15000	
262	3700822601023	AEON protect plus				3	0	2		15742	15742	17000	31484
263	3700822602396	AEON repair drop				3	0			17163	17163	18000	
264	6251106161568	Aeriallerg 5mg tab/SH				4	3	13		1470	1463	2000	19114
265	6251106161230	Aeriallerg syrup الدولية /sh				24	0	6		3544	3515	4500	21264
266	10002781	AERIUS 0.5 MG SYRUP ORGANON / sh		DESLORATADINE		43	0	3	شراب	8346	8340	11000	25039
267	1001231	Aerius 20 tab					2					5000	
268	0100366582505679211014266614641721103110t002830	AERIUS 30TAB				1	2	2		9880	9880	6000	19760
269	10002795100840100000	AERIUS 5mg tab / sh	aerius	desloratadine 5mg	باكيت	10	2	19	شريط	4945	4948	6500	93961
270	1001230	AERIUS SYRUP ORGANON				5	0		شراب	8580	8280	10000	
271	8699570570147	A-FERIN PLUS SYR BILIM / sh				68	0	2		3517	3515	4750	7035
272	787907092863	afra coldin SYP				23	0	4	باكيت	1277	1255	2000	5107
273	787907092924	AFRA VITAMIN C500MG / sh				20	10	204		132	132	1000	26928
274	787907092917	AFRADAZOL 400MG ORAL				1	0			850	850	1500	
275	787907092870	afrafast 30 sachets				34	30	1018		276	32	500	281318
276	1001607729	AFRAFAST SACHETS					30					500	
277	6192402816519	afusidic cream opalia / sh				53	0			1756	1755	2500	
278		afusidic oint				2	0	2		1756	1756	3000	3512
279	6192402816915	AFUSIDIC OINTMENT 15G opalia /sh				77	0	2		1755	1755	2500	3510
280	10002795100840100000	ag omega 3					0					15000	
281	6251060000071	agib water 100ml pharma g /sh				7	0	3		2927	2970	5000	8782
282	4019338607405	agiolax meda				42	0		باكيت	9285	8728	11500	
283	6221043040004	agiolax Sachet					12					1000	
284	8697711600753	AHA peeling 30ml				4	0	2		12000	12000	18000	24000
285	8809416470047	AHA whitehead power liquid cosrx 100ml				2	0	2		15250	15250	20000	30500
286	672935781097	AIM FLOSS 50PCS				21	0	4	باكيت	2250	2250	3000	9000
287	10002795100840100000	AIMEL COTTONBUDS				2	6	12		583	583	1000	7000
288	1001608029	Aircomb 5/10mg tab باكيت ازرق					3					4000	
